attacker_model,victim_model,attack_method,num_rows,breach_rate_pct,impact_mean
ArcFace,Facenet512,BPA_CNN,30,36.666666666666664,0.26884254862864815
ArcFace,GhostFaceNet,BPA_CNN,30,40.0,0.11136048734188081
ArcFace,IR152,BPA_CNN,30,13.333333333333334,0.1967235995767017
ArcFace,VGG-Face,BPA_CNN,30,33.33333333333333,0.14600654797007642
Facenet512,ArcFace,BPA_CNN,30,43.333333333333336,0.2072445866186172
Facenet512,GhostFaceNet,BPA_CNN,30,33.33333333333333,0.10276634612431129
Facenet512,IR152,BPA_CNN,30,23.333333333333332,0.23094952475900452
Facenet512,VGG-Face,BPA_CNN,30,50.0,0.1990517749761542
GhostFaceNet,ArcFace,BPA_CNN,30,23.333333333333332,0.087122561239327
GhostFaceNet,Facenet512,BPA_CNN,30,6.666666666666667,0.1361448148265481
GhostFaceNet,IR152,BPA_CNN,30,3.3333333333333335,0.12597634798536697
GhostFaceNet,VGG-Face,BPA_CNN,30,10.0,0.06385552510619165
VGG-Face,ArcFace,BPA_CNN,30,53.333333333333336,0.21782556395046415
VGG-Face,Facenet512,BPA_CNN,30,53.333333333333336,0.41258996023486055
VGG-Face,GhostFaceNet,BPA_CNN,30,36.666666666666664,0.10104347312202057
VGG-Face,IR152,BPA_CNN,30,13.333333333333334,0.18165246328959864
