row_id,attacker_model,img1,img2,dataset,attack_type,pgd_path,mi_fgsm_path,ti_fgsm_path,si_ni_fgsm_path,mi_admix_di_ti_path
0,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/PGD/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_0cff3a7c.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_FGSM/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_d96ebfe1.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/TI_FGSM/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_37411260.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/SI_NI_FGSM/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_549ec5f9.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_ADMIX_DI_TI/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_a1a23464.png
32,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Donald Rumsfeld_105.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Paul Burrell_11.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/PGD/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_c6815d64.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_FGSM/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_56b2f053.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/TI_FGSM/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_2fd7f122.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/SI_NI_FGSM/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_d7b21918.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_ADMIX_DI_TI/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_5ad89c2d.png
48,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_14.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Venus Williams_9.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/PGD/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_4394fb04.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_FGSM/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_9078f9b5.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/TI_FGSM/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_420edf27.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/SI_NI_FGSM/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_20872ce1.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_ADMIX_DI_TI/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_fdc747cc.png
57,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Mike Weir_10.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luis Horna_2.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/PGD/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_38077646.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_FGSM/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_e430e27b.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/TI_FGSM/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_79fa7719.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/SI_NI_FGSM/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_dea9b523.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_ADMIX_DI_TI/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_ee4f0e0e.png
60,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Jason Kidd_9.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_22.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/PGD/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_e60cb0ee.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_FGSM/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_38d74424.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/TI_FGSM/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_2502a632.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/SI_NI_FGSM/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_016ae55b.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_ADMIX_DI_TI/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_c47c7daf.png
2,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/107859.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/031892.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/PGD/adv_r2_107859_to_031892_impersonation_attack_381aa62a.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_FGSM/adv_r2_107859_to_031892_impersonation_attack_1940ce25.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/TI_FGSM/adv_r2_107859_to_031892_impersonation_attack_8731242d.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/SI_NI_FGSM/adv_r2_107859_to_031892_impersonation_attack_0cd20b48.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_ADMIX_DI_TI/adv_r2_107859_to_031892_impersonation_attack_647bc7c0.png
8,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/023666.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/010959.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/PGD/adv_r8_023666_to_010959_impersonation_attack_324407ae.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_FGSM/adv_r8_023666_to_010959_impersonation_attack_b573e9ad.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/TI_FGSM/adv_r8_023666_to_010959_impersonation_attack_7df3003a.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/SI_NI_FGSM/adv_r8_023666_to_010959_impersonation_attack_bc2403db.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_ADMIX_DI_TI/adv_r8_023666_to_010959_impersonation_attack_e675e0db.png
12,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/003089.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/016966.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/PGD/adv_r12_003089_to_016966_impersonation_attack_0d4683ec.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_FGSM/adv_r12_003089_to_016966_impersonation_attack_5c0e15e9.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/TI_FGSM/adv_r12_003089_to_016966_impersonation_attack_fcdcd45f.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/SI_NI_FGSM/adv_r12_003089_to_016966_impersonation_attack_7064f4d3.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_ADMIX_DI_TI/adv_r12_003089_to_016966_impersonation_attack_c175fcaa.png
26,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/113117.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/129449.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/PGD/adv_r26_113117_to_129449_impersonation_attack_63109051.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_FGSM/adv_r26_113117_to_129449_impersonation_attack_6e5faed0.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/TI_FGSM/adv_r26_113117_to_129449_impersonation_attack_9c2c0026.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/SI_NI_FGSM/adv_r26_113117_to_129449_impersonation_attack_b13de2b0.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_ADMIX_DI_TI/adv_r26_113117_to_129449_impersonation_attack_6ecd2b65.png
34,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/001430.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/046649.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/PGD/adv_r34_001430_to_046649_impersonation_attack_e186c7de.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_FGSM/adv_r34_001430_to_046649_impersonation_attack_e5db3814.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/TI_FGSM/adv_r34_001430_to_046649_impersonation_attack_aec4450b.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/SI_NI_FGSM/adv_r34_001430_to_046649_impersonation_attack_09509637.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/ArcFace/MI_ADMIX_DI_TI/adv_r34_001430_to_046649_impersonation_attack_10c4eb0e.png
