row_id,attacker_model,img1,img2,dataset,attack_type,pgd_path,mi_fgsm_path,ti_fgsm_path,si_ni_fgsm_path,mi_admix_di_ti_path
0,Facenet512,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/PGD/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_bb0854d9.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_FGSM/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_913eaa3c.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/TI_FGSM/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_9fca767c.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/SI_NI_FGSM/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_171a2c5c.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_ADMIX_DI_TI/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_67a6ae40.png
32,Facenet512,/content/face_module/dataset_extractedfaces/lfw_pairs/Donald Rumsfeld_105.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Paul Burrell_11.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/PGD/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_d78f568d.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_FGSM/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_fd5dcabc.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/TI_FGSM/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_f7ef11cf.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/SI_NI_FGSM/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_1358aacb.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_ADMIX_DI_TI/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_bf4f71c7.png
48,Facenet512,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_14.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Venus Williams_9.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/PGD/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_3d0b874a.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_FGSM/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_7995b492.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/TI_FGSM/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_b4069aea.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/SI_NI_FGSM/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_de1a8de8.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_ADMIX_DI_TI/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_3c7aa06d.png
57,Facenet512,/content/face_module/dataset_extractedfaces/lfw_pairs/Mike Weir_10.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luis Horna_2.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/PGD/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_6d5ddd69.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_FGSM/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_25b4ef08.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/TI_FGSM/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_e3a90410.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/SI_NI_FGSM/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_b3ef7b7a.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_ADMIX_DI_TI/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_c67693e1.png
60,Facenet512,/content/face_module/dataset_extractedfaces/lfw_pairs/Jason Kidd_9.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_22.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/PGD/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_084e0546.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_FGSM/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_94c09c5e.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/TI_FGSM/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_334c5bd8.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/SI_NI_FGSM/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_f88b721e.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_ADMIX_DI_TI/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_0677f0fc.png
2,Facenet512,/content/face_module/dataset_extractedfaces/celeba_pairs/107859.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/031892.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/PGD/adv_r2_107859_to_031892_impersonation_attack_e1004022.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_FGSM/adv_r2_107859_to_031892_impersonation_attack_e6e63fc6.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/TI_FGSM/adv_r2_107859_to_031892_impersonation_attack_4fc8c240.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/SI_NI_FGSM/adv_r2_107859_to_031892_impersonation_attack_c9c34759.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_ADMIX_DI_TI/adv_r2_107859_to_031892_impersonation_attack_08d947da.png
8,Facenet512,/content/face_module/dataset_extractedfaces/celeba_pairs/023666.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/010959.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/PGD/adv_r8_023666_to_010959_impersonation_attack_dabda7ea.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_FGSM/adv_r8_023666_to_010959_impersonation_attack_ac9e85d6.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/TI_FGSM/adv_r8_023666_to_010959_impersonation_attack_3de196b0.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/SI_NI_FGSM/adv_r8_023666_to_010959_impersonation_attack_2dcd555d.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_ADMIX_DI_TI/adv_r8_023666_to_010959_impersonation_attack_0469facb.png
12,Facenet512,/content/face_module/dataset_extractedfaces/celeba_pairs/003089.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/016966.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/PGD/adv_r12_003089_to_016966_impersonation_attack_8db89ca3.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_FGSM/adv_r12_003089_to_016966_impersonation_attack_94a0a9a4.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/TI_FGSM/adv_r12_003089_to_016966_impersonation_attack_65d83c51.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/SI_NI_FGSM/adv_r12_003089_to_016966_impersonation_attack_14e15b01.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_ADMIX_DI_TI/adv_r12_003089_to_016966_impersonation_attack_1163bb8d.png
26,Facenet512,/content/face_module/dataset_extractedfaces/celeba_pairs/113117.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/129449.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/PGD/adv_r26_113117_to_129449_impersonation_attack_409dd462.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_FGSM/adv_r26_113117_to_129449_impersonation_attack_8527990e.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/TI_FGSM/adv_r26_113117_to_129449_impersonation_attack_1189c0c1.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/SI_NI_FGSM/adv_r26_113117_to_129449_impersonation_attack_f7dc565d.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_ADMIX_DI_TI/adv_r26_113117_to_129449_impersonation_attack_6f194c66.png
34,Facenet512,/content/face_module/dataset_extractedfaces/celeba_pairs/001430.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/046649.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/PGD/adv_r34_001430_to_046649_impersonation_attack_e0a84c05.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_FGSM/adv_r34_001430_to_046649_impersonation_attack_a6ee58b3.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/TI_FGSM/adv_r34_001430_to_046649_impersonation_attack_2f83e6b8.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/SI_NI_FGSM/adv_r34_001430_to_046649_impersonation_attack_6395bc49.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/Facenet512/MI_ADMIX_DI_TI/adv_r34_001430_to_046649_impersonation_attack_06ea18e8.png
