row_id,attacker_model,img1,img2,dataset,attack_type,pgd_path,mi_fgsm_path,ti_fgsm_path,si_ni_fgsm_path,mi_admix_di_ti_path
0,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/PGD/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_ac8845f1.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_FGSM/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_f9e59589.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/TI_FGSM/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_c2982996.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/SI_NI_FGSM/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_995199a0.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_ADMIX_DI_TI/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_10804a38.png
32,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Donald Rumsfeld_105.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Paul Burrell_11.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/PGD/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_e4d52ced.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_FGSM/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_cbed4b2b.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/TI_FGSM/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_859e1458.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/SI_NI_FGSM/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_eeb739dd.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_ADMIX_DI_TI/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_29ab14ce.png
48,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_14.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Venus Williams_9.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/PGD/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_4496eb45.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_FGSM/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_c175d83b.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/TI_FGSM/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_a2502aa5.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/SI_NI_FGSM/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_ac77a268.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_ADMIX_DI_TI/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_177b4eda.png
57,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Mike Weir_10.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luis Horna_2.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/PGD/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_d8fcb7bb.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_FGSM/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_be4300b8.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/TI_FGSM/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_d3cd5773.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/SI_NI_FGSM/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_e1344cdb.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_ADMIX_DI_TI/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_2d4e919b.png
60,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Jason Kidd_9.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_22.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/PGD/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_9d901c96.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_FGSM/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_5a378af5.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/TI_FGSM/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_7ccef09b.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/SI_NI_FGSM/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_9e41a212.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_ADMIX_DI_TI/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_f528c003.png
2,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/107859.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/031892.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/PGD/adv_r2_107859_to_031892_impersonation_attack_148ce7a7.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_FGSM/adv_r2_107859_to_031892_impersonation_attack_35516655.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/TI_FGSM/adv_r2_107859_to_031892_impersonation_attack_45c04f70.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/SI_NI_FGSM/adv_r2_107859_to_031892_impersonation_attack_96400619.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_ADMIX_DI_TI/adv_r2_107859_to_031892_impersonation_attack_18ae6597.png
8,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/023666.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/010959.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/PGD/adv_r8_023666_to_010959_impersonation_attack_f8f64a28.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_FGSM/adv_r8_023666_to_010959_impersonation_attack_a84b1af4.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/TI_FGSM/adv_r8_023666_to_010959_impersonation_attack_87d51b65.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/SI_NI_FGSM/adv_r8_023666_to_010959_impersonation_attack_4811688a.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_ADMIX_DI_TI/adv_r8_023666_to_010959_impersonation_attack_8fc3f3e8.png
12,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/003089.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/016966.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/PGD/adv_r12_003089_to_016966_impersonation_attack_3535f4cd.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_FGSM/adv_r12_003089_to_016966_impersonation_attack_b133dc12.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/TI_FGSM/adv_r12_003089_to_016966_impersonation_attack_d48133cc.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/SI_NI_FGSM/adv_r12_003089_to_016966_impersonation_attack_21d0eccf.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_ADMIX_DI_TI/adv_r12_003089_to_016966_impersonation_attack_173f41e0.png
26,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/113117.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/129449.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/PGD/adv_r26_113117_to_129449_impersonation_attack_0c5830dd.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_FGSM/adv_r26_113117_to_129449_impersonation_attack_7d2070fe.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/TI_FGSM/adv_r26_113117_to_129449_impersonation_attack_3d72efe9.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/SI_NI_FGSM/adv_r26_113117_to_129449_impersonation_attack_bb6ec578.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_ADMIX_DI_TI/adv_r26_113117_to_129449_impersonation_attack_50860e36.png
34,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/001430.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/046649.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/PGD/adv_r34_001430_to_046649_impersonation_attack_2fe361c1.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_FGSM/adv_r34_001430_to_046649_impersonation_attack_0a015f6f.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/TI_FGSM/adv_r34_001430_to_046649_impersonation_attack_b3177db4.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/SI_NI_FGSM/adv_r34_001430_to_046649_impersonation_attack_06d4fa4d.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/VGG-Face/MI_ADMIX_DI_TI/adv_r34_001430_to_046649_impersonation_attack_2ac7f6d3.png
