row_id,attacker_model,img1,img2,dataset,attack_type,pgd_path,mi_fgsm_path,ti_fgsm_path,si_ni_fgsm_path,mi_admix_di_ti_path
0,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/PGD/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_8b587d6c.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_FGSM/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_0c4181a7.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/TI_FGSM/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_4bba3e92.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/SI_NI_FGSM/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_a2584c9a.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_ADMIX_DI_TI/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_d087c028.png
32,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Donald Rumsfeld_105.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Paul Burrell_11.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/PGD/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_9d81e8b5.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_FGSM/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_08356bd2.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/TI_FGSM/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_3b775ef9.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/SI_NI_FGSM/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_0c6d9f68.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_ADMIX_DI_TI/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_09bd5faa.png
48,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_14.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Venus Williams_9.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/PGD/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_4a9998de.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_FGSM/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_33e6513d.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/TI_FGSM/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_e49c00a8.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/SI_NI_FGSM/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_db9ea277.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_ADMIX_DI_TI/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_f59fddb1.png
57,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Mike Weir_10.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luis Horna_2.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/PGD/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_cf37e933.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_FGSM/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_735e1e0c.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/TI_FGSM/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_1ae6b016.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/SI_NI_FGSM/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_54926656.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_ADMIX_DI_TI/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_1267a0f5.png
60,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Jason Kidd_9.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_22.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/PGD/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_632641fc.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_FGSM/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_b3bc17ec.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/TI_FGSM/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_7d4dfe08.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/SI_NI_FGSM/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_9f0b3ccd.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_ADMIX_DI_TI/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_c28819a3.png
2,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/107859.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/031892.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/PGD/adv_r2_107859_to_031892_impersonation_attack_bba831bf.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_FGSM/adv_r2_107859_to_031892_impersonation_attack_6293ac66.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/TI_FGSM/adv_r2_107859_to_031892_impersonation_attack_9c9f9b37.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/SI_NI_FGSM/adv_r2_107859_to_031892_impersonation_attack_6963a5f9.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_ADMIX_DI_TI/adv_r2_107859_to_031892_impersonation_attack_0d059765.png
8,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/023666.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/010959.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/PGD/adv_r8_023666_to_010959_impersonation_attack_711033fa.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_FGSM/adv_r8_023666_to_010959_impersonation_attack_8ab90bd6.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/TI_FGSM/adv_r8_023666_to_010959_impersonation_attack_bd2f8b49.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/SI_NI_FGSM/adv_r8_023666_to_010959_impersonation_attack_123f6ecc.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_ADMIX_DI_TI/adv_r8_023666_to_010959_impersonation_attack_2bdd3893.png
12,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/003089.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/016966.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/PGD/adv_r12_003089_to_016966_impersonation_attack_4b3281fe.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_FGSM/adv_r12_003089_to_016966_impersonation_attack_9f1fc34e.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/TI_FGSM/adv_r12_003089_to_016966_impersonation_attack_af5ca885.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/SI_NI_FGSM/adv_r12_003089_to_016966_impersonation_attack_a4b5c461.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_ADMIX_DI_TI/adv_r12_003089_to_016966_impersonation_attack_ef245f67.png
26,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/113117.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/129449.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/PGD/adv_r26_113117_to_129449_impersonation_attack_f71b138d.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_FGSM/adv_r26_113117_to_129449_impersonation_attack_982c16ee.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/TI_FGSM/adv_r26_113117_to_129449_impersonation_attack_c0e290f5.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/SI_NI_FGSM/adv_r26_113117_to_129449_impersonation_attack_b9cf3fa3.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_ADMIX_DI_TI/adv_r26_113117_to_129449_impersonation_attack_b0f68747.png
34,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/001430.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/046649.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/PGD/adv_r34_001430_to_046649_impersonation_attack_29c36be9.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_FGSM/adv_r34_001430_to_046649_impersonation_attack_6e312cd3.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/TI_FGSM/adv_r34_001430_to_046649_impersonation_attack_20ec7282.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/SI_NI_FGSM/adv_r34_001430_to_046649_impersonation_attack_b7db6214.png,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs/GhostFaceNet/MI_ADMIX_DI_TI/adv_r34_001430_to_046649_impersonation_attack_5822ca74.png
