row_id,attacker_model,img1,img2,dataset,attack_type,bpa_cnn_path
0,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/ArcFace/BPA_CNN/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_f5a30351.png
32,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Donald Rumsfeld_105.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Paul Burrell_11.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/ArcFace/BPA_CNN/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_8d278833.png
48,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_14.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Venus Williams_9.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/ArcFace/BPA_CNN/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_d2b15aa2.png
57,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Mike Weir_10.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luis Horna_2.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/ArcFace/BPA_CNN/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_9316fec8.png
60,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Jason Kidd_9.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_22.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/ArcFace/BPA_CNN/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_1d4386f7.png
2,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/107859.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/031892.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/ArcFace/BPA_CNN/adv_r2_107859_to_031892_impersonation_attack_6b93c844.png
8,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/023666.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/010959.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/ArcFace/BPA_CNN/adv_r8_023666_to_010959_impersonation_attack_ddfb9e31.png
12,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/003089.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/016966.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/ArcFace/BPA_CNN/adv_r12_003089_to_016966_impersonation_attack_36b145f2.png
26,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/113117.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/129449.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/ArcFace/BPA_CNN/adv_r26_113117_to_129449_impersonation_attack_35ec75a7.png
34,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/001430.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/046649.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/ArcFace/BPA_CNN/adv_r34_001430_to_046649_impersonation_attack_25a941f7.png
3,ArcFace,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0076_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0080_01.jpg,vggface2_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/ArcFace/BPA_CNN/adv_r3_n000007_0076_01_to_n000005_0080_01_impersonation_attack_32557f51.png
5,ArcFace,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000004_0204_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000002_0070_01.jpg,vggface2_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/ArcFace/BPA_CNN/adv_r5_n000004_0204_01_to_n000002_0070_01_impersonation_attack_5e41034c.png
