row_id,attacker_model,img1,img2,dataset,attack_type,bpa_cnn_path
0,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_0871012b.png
32,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Donald Rumsfeld_105.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Paul Burrell_11.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_6019cde7.png
48,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_14.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Venus Williams_9.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_8e086ce4.png
57,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Mike Weir_10.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luis Horna_2.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_eb1218e4.png
60,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Jason Kidd_9.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_22.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_4cf50366.png
2,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/107859.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/031892.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r2_107859_to_031892_impersonation_attack_18a0442b.png
8,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/023666.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/010959.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r8_023666_to_010959_impersonation_attack_5e19e821.png
12,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/003089.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/016966.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r12_003089_to_016966_impersonation_attack_4ac649aa.png
26,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/113117.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/129449.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r26_113117_to_129449_impersonation_attack_cf9c943b.png
34,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/001430.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/046649.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r34_001430_to_046649_impersonation_attack_13bd2be3.png
3,GhostFaceNet,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0076_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0080_01.jpg,vggface2_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r3_n000007_0076_01_to_n000005_0080_01_impersonation_attack_d6f81190.png
5,GhostFaceNet,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000004_0204_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000002_0070_01.jpg,vggface2_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r5_n000004_0204_01_to_n000002_0070_01_impersonation_attack_7d16f690.png
17,GhostFaceNet,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000016_0036_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0087_01.jpg,vggface2_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r17_n000016_0036_01_to_n000012_0087_01_impersonation_attack_76506243.png
19,GhostFaceNet,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0012_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0101_01.jpg,vggface2_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r19_n000007_0012_01_to_n000008_0101_01_impersonation_attack_97d74b47.png
21,GhostFaceNet,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0183_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000014_0113_01.jpg,vggface2_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r21_n000012_0183_01_to_n000014_0113_01_impersonation_attack_f4501eb6.png
6,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_7.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_8.jpg,lfw_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r6_Luiz_Inacio_Lula_da_Silva_7_to_Luiz_Inacio_Lula_da_Silva_8_dodging_attack_7cd9a6ef.png
9,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_75.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_76.jpg,lfw_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r9_Colin_Powell_75_to_Colin_Powell_76_dodging_attack_70b2fab5.png
15,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_518.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_519.jpg,lfw_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r15_George_W_Bush_518_to_George_W_Bush_519_dodging_attack_35630fe9.png
16,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_24.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_25.jpg,lfw_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r16_Colin_Powell_24_to_Colin_Powell_25_dodging_attack_39e63018.png
23,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Tom Daschle_5.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Tom Daschle_6.jpg,lfw_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r23_Tom_Daschle_5_to_Tom_Daschle_6_dodging_attack_ed3277e3.png
18,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/092809.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/108708.jpg,celeba_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r18_092809_to_108708_dodging_attack_035ae984.png
27,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/023869.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/024923.jpg,celeba_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r27_023869_to_024923_dodging_attack_0cc10df9.png
28,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/130980.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/147767.jpg,celeba_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r28_130980_to_147767_dodging_attack_515405ec.png
30,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/042909.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/048579.jpg,celeba_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r30_042909_to_048579_dodging_attack_01bf86b4.png
33,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/169016.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/171037.jpg,celeba_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r33_169016_to_171037_dodging_attack_b480ef33.png
1,GhostFaceNet,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0113_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0122_01.jpg,vggface2_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r1_n000007_0113_01_to_n000007_0122_01_dodging_attack_93bd8789.png
4,GhostFaceNet,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0256_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0348_01.jpg,vggface2_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r4_n000008_0256_01_to_n000008_0348_01_dodging_attack_5f3dc368.png
7,GhostFaceNet,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000010_0058_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000010_0081_01.jpg,vggface2_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/GhostFaceNet/BPA_CNN/adv_r7_n000010_0058_01_to_n000010_0081_01_dodging_attack_5bf645e0.png
